filepath,xmin,xmax,ymin,ymax;;;;;;xxmyym
./100_imgs_default_xml\N22.xml,493,858,885,967;;;;;;[[ 744 1059  685  793]]
./100_imgs_default_xml\N23.xml,107,201,264,288;;;;;;[[204 307 241 282]]
./100_imgs_default_xml\N24.xml,151,280,193,224;;;;;;[[148 283 190 224]]
./100_imgs_default_xml\N25.xml,132,235,169,193;;;;;;[[143 244 168 191]]
./100_imgs_default_xml\N27.xml,696,1061,546,677;;;;;;[[ 734 1089  557  670]]
./100_imgs_default_xml\N28.xml,738,1009,654,722;;;;;;[[ 722 1002  646  727]]
./100_imgs_default_xml\N3.xml,73,260,381,462;;;;;;[[ 81 287 396 473]]
./100_imgs_default_xml\N30.xml,928,1219,543,606;;;;;;[[615 925 630 755]]
./100_imgs_default_xml\N31.xml,256,381,233,261;;;;;;[[252 378 228 262]]
./100_imgs_default_xml\N32.xml,360,500,171,206;;;;;;[[372 502 166 205]]
./100_imgs_default_xml\N33.xml,856,1218,665,751;;;;;;[[ 830 1297  704  809]]
./100_imgs_default_xml\N34.xml,576,902,487,596;;;;;;[[562 925 497 600]]
./100_imgs_default_xml\N35.xml,97,229,338,378;;;;;;[[103 251 336 378]]
./100_imgs_default_xml\N36.xml,392,517,161,213;;;;;;[[401 515 149 210]]
./100_imgs_default_xml\N37.xml,77,200,231,290;;;;;;[[180 334 237 274]]
./100_imgs_default_xml\N38.xml,397,645,590,641;;;;;;[[377 597 442 515]]
./100_imgs_default_xml\N4.xml,1326,1830,1464,1607;;;;;;[[1324 1873 1444 1610]]
./100_imgs_default_xml\N40.xml,328,580,208,254;;;;;;[[314 580 205 250]]
./100_imgs_default_xml\N42.xml,163,373,253,327;;;;;;[[181 397 255 325]]
./100_imgs_default_xml\N43.xml,142,298,281,327;;;;;;[[141 309 280 325]]
./100_imgs_default_xml\N44.xml,113,257,282,322;;;;;;[[110 257 277 323]]
./100_imgs_default_xml\N45.xml,107,256,147,180;;;;;;[[110 254 144 174]]
./100_imgs_default_xml\N46.xml,454,797,109,234;;;;;;[[406 718 132 195]]
./100_imgs_default_xml\N47.xml,161,313,212,259;;;;;;[[169 305 209 244]]
./100_imgs_default_xml\N48.xml,156,335,259,303;;;;;;[[151 340 259 302]]
./100_imgs_default_xml\N49.xml,196,352,135,173;;;;;;[[194 359 136 171]]
./100_imgs_default_xml\N5.xml,938,1173,709,762;;;;;;[[ 870 1129  692  771]]
./100_imgs_default_xml\N50.xml,101,397,223,291;;;;;;[[101 391 217 290]]
./100_imgs_default_xml\N51.xml,383,491,212,248;;;;;;[[388 493 208 248]]
./100_imgs_default_xml\N52.xml,234,422,254,294;;;;;;[[227 427 249 294]]
./100_imgs_default_xml\N53.xml,217,428,147,188;;;;;;[[215 425 147 190]]
./100_imgs_default_xml\N54.xml,189,299,162,188;;;;;;[[190 305 162 187]]
./100_imgs_default_xml\N56.xml,302,486,265,303;;;;;;[[298 500 260 307]]
./100_imgs_default_xml\N57.xml,211,406,161,202;;;;;;[[204 403 160 201]]
./100_imgs_default_xml\N58.xml,221,430,190,231;;;;;;[[219 433 189 231]]
./100_imgs_default_xml\N59.xml,1238,2468,1012,1269;;;;;;[[1219 2439  997 1270]]
./100_imgs_default_xml\N6.xml,858,1122,611,676;;;;;;[[ 840 1116  607  686]]
./100_imgs_default_xml\N61.xml,158,350,252,297;;;;;;[[150 344 248 300]]
./100_imgs_default_xml\N62.xml,289,421,188,232;;;;;;[[210 326 184 214]]
./100_imgs_default_xml\N63.xml,297,422,174,218;;;;;;[[292 405 173 216]]
./100_imgs_default_xml\N64.xml,19,94,249,314;;;;;;[[ 23  98 250 307]]
./100_imgs_default_xml\N65.xml,1024,1273,611,680;;;;;;[[1020 1252  610  693]]
./100_imgs_default_xml\N66.xml,163,320,247,280;;;;;;[[160 323 244 282]]
./100_imgs_default_xml\N67.xml,164,336,162,195;;;;;;[[145 328 182 219]]
./100_imgs_default_xml\N68.xml,319,479,262,295;;;;;;[[313 485 262 299]]
./100_imgs_default_xml\N69.xml,637,840,464,549;;;;;;[[623 833 468 552]]
./100_imgs_default_xml\N7.xml,1149,1358,649,702;;;;;;[[1135 1364  643  721]]
./100_imgs_default_xml\N70.xml,186,395,376,430;;;;;;[[229 416 364 421]]
./100_imgs_default_xml\N72.xml,186,325,177,212;;;;;;[[179 324 176 213]]
./100_imgs_default_xml\N73.xml,124,209,102,130;;;;;;[[124 208 102 130]]
./100_imgs_default_xml\N74.xml,161,366,210,250;;;;;;[[154 362 204 246]]
./100_imgs_default_xml\N75.xml,466,740,680,737;;;;;;[[447 739 668 745]]
./100_imgs_default_xml\N77.xml,361,566,190,297;;;;;;[[361 569 193 300]]
./100_imgs_default_xml\N78.xml,146,302,160,196;;;;;;[[138 312 167 204]]
./100_imgs_default_xml\N79.xml,113,277,288,347;;;;;;[[162 339 277 336]]
./100_imgs_default_xml\N8.xml,788,1525,1675,1851;;;;;;[[ 762 1564 1649 1850]]
./100_imgs_default_xml\N80.xml,248,372,116,144;;;;;;[[242 369 113 142]]
./100_imgs_default_xml\N81.xml,66,174,302,332;;;;;;[[ 78 201 297 332]]
./100_imgs_default_xml\N82.xml,456,651,722,778;;;;;;[[450 646 710 792]]
./100_imgs_default_xml\N84.xml,235,349,319,352;;;;;;[[231 349 313 357]]
./100_imgs_default_xml\N85.xml,163,302,357,427;;;;;;[[159 309 359 423]]
./100_imgs_default_xml\N86.xml,448,638,273,338;;;;;;[[258 455 304 375]]
./100_imgs_default_xml\N88.xml,208,370,89,173;;;;;;[[201 378  97 177]]
./100_imgs_default_xml\N89.xml,150,378,217,269;;;;;;[[122 299 244 305]]
./100_imgs_default_xml\N9.xml,142,441,55,167;;;;;;[[148 457  44 163]]
./100_imgs_default_xml\N90.xml,53,185,206,232;;;;;;[[ 58 202 209 235]]
./100_imgs_default_xml\N91.xml,239,347,187,211;;;;;;[[236 350 187 214]]
./100_imgs_default_xml\N92.xml,113,420,209,260;;;;;;[[117 417 212 262]]
./100_imgs_default_xml\N93.xml,385,746,293,434;;;;;;[[380 753 312 431]]
./100_imgs_default_xml\N94.xml,63,243,234,274;;;;;;[[ 64 256 242 279]]
./100_imgs_default_xml\N95.xml,23,408,173,391;;;;;;[[ 28 398 197 402]]
./100_imgs_default_xml\N96.xml,137,352,141,186;;;;;;[[132 350 142 187]]
./100_imgs_default_xml\N97.xml,175,290,228,255;;;;;;[[171 291 216 242]]
./100_imgs_default_xml\N98.xml,563,675,207,238;;;;;;[[557 670 197 235]]
./100_imgs_default_xml\N99.xml,158,389,129,193;;;;;;[[166 395 129 190]]
